datetime_utc,hour_local,price_eur_mwh,price_eur_kwh,price_cent_kwh
2025-12-07T23:00:00+00:00,0,51.87,0.0519,5.19
2025-12-07T23:00:00+00:00,0,18.73,0.0187,1.87
2025-12-08T00:00:00+00:00,1,56.09,0.0561,5.61
2025-12-08T00:00:00+00:00,1,23.74,0.0237,2.37
2025-12-08T01:00:00+00:00,2,55.29,0.0553,5.53
2025-12-08T01:00:00+00:00,2,17.58,0.0176,1.76
2025-12-08T02:00:00+00:00,3,55.93,0.0559,5.59
2025-12-08T02:00:00+00:00,3,10.49,0.0105,1.05
2025-12-08T03:00:00+00:00,4,60.31,0.0603,6.03
2025-12-08T03:00:00+00:00,4,13.69,0.0137,1.37
2025-12-08T04:00:00+00:00,5,55.64,0.0556,5.56
2025-12-08T04:00:00+00:00,5,13.78,0.0138,1.38
2025-12-08T05:00:00+00:00,6,61.77,0.0618,6.18
2025-12-08T05:00:00+00:00,6,10.7,0.0107,1.07
2025-12-08T06:00:00+00:00,7,72.8,0.0728,7.28
2025-12-08T06:00:00+00:00,7,8.47,0.0085,0.85
2025-12-08T07:00:00+00:00,8,62.11,0.0621,6.21
2025-12-08T07:00:00+00:00,8,15.4,0.0154,1.54
2025-12-08T08:00:00+00:00,9,62.15,0.0621,6.21
2025-12-08T08:00:00+00:00,9,11.72,0.0117,1.17
2025-12-08T09:00:00+00:00,10,73.35,0.0733,7.33
2025-12-08T09:00:00+00:00,10,8.99,0.009,0.9
2025-12-08T10:00:00+00:00,11,73.38,0.0734,7.34
2025-12-08T10:00:00+00:00,11,8.08,0.0081,0.81
2025-12-08T11:00:00+00:00,12,73.4,0.0734,7.34
2025-12-08T11:00:00+00:00,12,7.81,0.0078,0.78
2025-12-08T12:00:00+00:00,13,75.72,0.0757,7.57
2025-12-08T12:00:00+00:00,13,7.26,0.0073,0.73
2025-12-08T13:00:00+00:00,14,73.32,0.0733,7.33
2025-12-08T13:00:00+00:00,14,7.0,0.007,0.7
2025-12-08T14:00:00+00:00,15,67.99,0.068,6.8
2025-12-08T15:00:00+00:00,16,74.76,0.0748,7.48
2025-12-08T15:00:00+00:00,16,7.82,0.0078,0.78
2025-12-08T16:00:00+00:00,17,73.08,0.0731,7.31
2025-12-08T16:00:00+00:00,17,9.14,0.0091,0.91
2025-12-08T17:00:00+00:00,18,69.29,0.0693,6.93
2025-12-08T17:00:00+00:00,18,12.82,0.0128,1.28
2025-12-08T18:00:00+00:00,19,70.25,0.0703,7.03
2025-12-08T18:00:00+00:00,19,21.62,0.0216,2.16
2025-12-08T19:00:00+00:00,20,71.08,0.0711,7.11
2025-12-08T19:00:00+00:00,20,13.51,0.0135,1.35
2025-12-08T20:00:00+00:00,21,71.98,0.072,7.2
2025-12-08T20:00:00+00:00,21,15.62,0.0156,1.56
2025-12-08T21:00:00+00:00,22,74.94,0.0749,7.49
2025-12-08T21:00:00+00:00,22,29.82,0.0298,2.98
2025-12-08T22:00:00+00:00,23,78.32,0.0783,7.83
2025-12-08T22:00:00+00:00,23,41.91,0.0419,4.19
