datetime,hour,price_eur_mwh,price_eur_kwh,price_cent_kwh
2026-09-15T00:00:00+02:00,1,209.07,0.2091,20.91
2026-09-15T01:00:00+02:00,2,198.01,0.198,19.8
2026-09-15T02:00:00+02:00,3,188.49,0.1885,18.85
2026-09-15T03:00:00+02:00,4,185.66,0.1857,18.57
2026-09-15T04:00:00+02:00,5,183.55,0.1835,18.36
2026-09-15T05:00:00+02:00,6,196.71,0.1967,19.67
2026-09-15T06:00:00+02:00,7,234.63,0.2346,23.46
2026-09-15T07:00:00+02:00,8,249.84,0.2498,24.98
2026-09-15T08:00:00+02:00,9,233.11,0.2331,23.31
2026-09-15T09:00:00+02:00,10,196.91,0.1969,19.69
2026-09-15T10:00:00+02:00,11,145.96,0.146,14.6
2026-09-15T11:00:00+02:00,12,122.82,0.1228,12.28
2026-09-15T12:00:00+02:00,13,64.0,0.064,6.4
2026-09-15T13:00:00+02:00,14,38.39,0.0384,3.84
2026-09-15T14:00:00+02:00,15,62.0,0.062,6.2
2026-09-15T15:00:00+02:00,16,101.38,0.1014,10.14
2026-09-15T16:00:00+02:00,17,153.0,0.153,15.3
2026-09-15T17:00:00+02:00,18,201.67,0.2017,20.17
2026-09-15T18:00:00+02:00,19,237.8,0.2378,23.78
2026-09-15T19:00:00+02:00,20,274.79,0.2748,27.48
2026-09-15T20:00:00+02:00,21,249.52,0.2495,24.95
2026-09-15T21:00:00+02:00,22,222.32,0.2223,22.23
2026-09-15T22:00:00+02:00,23,200.5,0.2005,20.05
2026-09-15T23:00:00+02:00,24,183.24,0.1832,18.32
